Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,437.114899,437.114899,435.187561,435.959259,435.959259,0
2022-05-05,431.858215,431.858215,424.754181,435.187561,435.187561,0
2022-05-06,426.371948,436.461334,426.371948,424.754181,424.754181,0
2022-05-09,439.400940,439.400940,436.883057,436.461334,436.461334,0
2022-05-10,435.954132,436.108032,435.954132,436.883057,436.883057,0
2022-05-11,437.389618,437.728027,437.389618,436.108032,436.108032,0
2022-05-12,438.911285,438.911285,430.853821,437.728027,437.728027,0
2022-05-16,428.244843,429.992706,427.837982,428.858643,428.858643,0
2022-05-17,430.977081,430.977081,430.977081,429.992706,429.992706,0
2022-05-18,430.350128,430.350128,430.350128,430.977081,430.977081,0
2022-05-19,426.255219,426.255219,426.255219,430.350128,430.350128,0
2022-05-20,423.274323,423.274323,423.274323,426.255219,426.255219,0
2022-05-23,423.216309,423.216309,419.480835,423.274323,423.274323,0
2022-05-24,419.693146,419.693146,414.192291,419.480835,419.480835,0
2022-05-25,413.427460,413.427460,412.488403,414.192291,414.192291,0
2022-05-26,410.939331,422.359314,410.939331,412.488403,412.488403,0
2022-05-27,432.164337,432.164337,432.164337,422.359314,422.359314,0
2022-05-30,431.185608,431.185608,420.895905,432.164337,432.164337,0
2022-05-31,422.233612,422.517426,422.233612,420.895905,420.895905,0
2022-06-01,421.282715,428.378174,421.282715,422.517426,422.517426,0
2022-06-02,430.894531,432.550720,430.894531,428.378174,428.378174,0
2022-06-03,429.883270,432.118011,429.883270,432.550720,432.550720,0
2022-06-06,432.942657,432.942657,428.996277,432.801300,432.801300,0
2022-06-07,430.728912,430.728912,428.681183,428.996277,428.996277,0
2022-06-08,427.871338,431.339996,427.871338,428.681183,428.681183,0
2022-06-09,431.742645,433.511871,431.742645,431.339996,431.339996,0
2022-06-10,437.304962,437.304962,433.613190,433.511871,433.511871,0
2022-06-13,437.878784,437.878784,434.765167,436.527863,436.527863,0
2022-06-14,436.536011,436.536011,434.495575,434.765167,434.765167,0
2022-06-15,434.616333,436.596008,434.616333,434.495575,434.495575,0
2022-06-16,437.890717,441.825684,437.890717,436.596008,436.596008,0
2022-06-17,435.876038,445.288116,435.876038,441.825684,441.825684,0
2022-06-20,446.465485,446.465485,444.080322,446.299652,446.299652,0
2022-06-21,443.882141,446.292358,443.882141,444.080322,444.080322,0
2022-06-22,447.956390,452.328461,447.956390,446.292358,446.292358,0
2022-06-23,450.082733,464.573456,450.082733,452.328461,452.328461,0
2022-06-24,463.822540,464.614441,463.822540,464.573456,464.573456,0
2022-06-27,463.562622,463.562622,458.746368,464.614441,464.614441,0
2022-06-28,458.995789,458.995789,456.493164,458.746368,458.746368,0
2022-06-29,458.933960,465.122681,458.933960,456.493164,456.493164,0
2022-06-30,468.904419,468.904419,467.367432,465.122681,465.122681,0
2022-07-01,464.305664,464.305664,461.347870,467.367432,467.367432,0
2022-07-04,462.199005,464.312714,462.199005,461.347870,461.347870,0
2022-07-05,465.173798,465.173798,462.920807,464.312714,464.312714,0
2022-07-06,464.429047,464.429047,463.010742,462.920807,462.920807,0
2022-07-07,463.262970,476.102173,463.262970,463.010742,463.010742,0
2022-07-08,476.326508,476.326508,469.043732,476.102173,476.102173,0
2022-07-11,470.027527,470.129059,470.027527,468.649963,468.649963,0
2022-07-12,472.692688,472.692688,471.361450,470.129059,470.129059,0
2022-07-13,471.194641,473.273560,471.194641,471.361450,471.361450,0
2022-07-14,475.096283,476.790039,475.096283,473.273560,473.273560,0
2022-07-15,476.537872,479.239807,476.537872,476.790039,476.790039,0
2022-07-18,477.480469,483.385681,477.480469,478.302734,478.302734,0
2022-07-19,484.700409,484.700409,477.216370,483.385681,483.385681,0
2022-07-20,477.994171,478.302185,477.994171,477.216370,477.216370,0
2022-07-21,479.236389,479.236389,479.117828,478.302185,478.302185,0
2022-07-22,478.552063,479.789856,478.552063,479.117828,479.117828,0
2022-07-25,478.908783,478.908783,474.981567,477.415558,477.415558,0
2022-07-26,475.380920,477.054474,475.380920,474.981567,474.981567,0
2022-07-27,477.604889,477.604889,474.740173,477.054474,477.054474,0
2022-07-28,473.670776,476.898315,473.670776,474.740173,474.740173,0
2022-07-29,473.748962,474.941071,473.748962,476.898315,476.898315,0
2022-08-01,475.187378,477.503143,475.187378,474.941071,474.941071,0
2022-08-02,475.840881,475.840881,470.946869,477.503143,477.503143,0
2022-08-03,474.484161,474.484161,471.589844,470.946869,470.946869,0
2022-08-04,472.963013,474.928284,472.963013,471.589844,471.589844,0
2022-08-05,472.447418,473.812317,472.447418,474.928284,474.928284,0
2022-08-08,476.778778,476.778778,473.820435,475.975830,475.975830,0
2022-08-09,474.164490,476.735260,474.164490,473.820435,473.820435,0
2022-08-10,477.617920,477.617920,475.539703,476.735260,476.735260,0
2022-08-11,472.759583,473.237762,472.759583,475.539703,475.539703,0
2022-08-12,474.417023,474.417023,474.250732,473.237762,473.237762,0
2022-08-15,475.500305,475.500305,473.487183,474.250732,474.250732,0
2022-08-16,475.846710,475.846710,473.405060,473.487183,473.487183,0
2022-08-17,471.791992,474.473419,471.791992,473.405060,473.405060,0
2022-08-18,473.479126,473.561096,473.479126,474.473419,474.473419,0
2022-08-19,477.991302,477.991302,473.692322,473.561096,473.561096,0
2022-08-22,475.093262,475.093262,470.605865,474.319702,474.319702,0
2022-08-23,473.992859,473.992859,463.886566,470.605865,470.605865,0
2022-08-24,462.427917,462.427917,460.998352,463.886566,463.886566,0
2022-08-25,458.494904,462.751099,458.494904,460.998352,460.998352,0
2022-08-26,463.949188,472.124664,463.949188,462.751099,462.751099,0
2022-08-29,475.842804,475.842804,471.177063,474.135773,474.135773,0
2022-08-30,469.980896,470.417786,469.980896,471.177063,471.177063,0
2022-08-31,471.128479,471.128479,469.591675,470.417786,470.417786,0
2022-09-01,467.870087,468.129730,467.870087,469.591675,469.591675,0
2022-09-02,470.906097,470.906097,468.003815,468.129730,468.129730,0
2022-09-05,471.762695,471.762695,469.231628,468.003815,468.003815,0
2022-09-06,467.624054,469.291168,467.624054,469.231628,469.231628,0
2022-09-07,471.165039,471.188751,471.165039,469.291168,469.291168,0
2022-09-08,466.903687,472.315979,466.903687,471.188751,471.188751,0
2022-09-09,470.881653,471.244049,470.881653,472.315979,472.315979,0
2022-09-12,470.848694,470.848694,470.197052,467.136169,467.136169,0
2022-09-13,470.183136,470.183136,469.504578,470.197052,470.197052,0
2022-09-14,479.030151,479.030151,470.468323,469.504578,469.504578,0
2022-09-15,471.989288,472.767517,471.989288,470.468323,470.468323,0
2022-09-16,471.744598,472.262299,471.744598,472.767517,472.767517,0
2022-09-19,465.665436,475.067230,465.665436,465.458527,465.458527,0
2022-09-20,473.497742,474.018646,473.497742,475.067230,475.067230,0
2022-09-21,476.235870,476.958466,476.235870,474.018646,474.018646,0
2022-09-22,481.727295,481.727295,476.401306,476.958466,476.958466,0
2022-09-23,477.666840,478.415253,477.666840,476.401306,476.401306,0
2022-09-26,487.630096,487.630096,474.910309,481.799896,481.799896,0
2022-09-27,475.408142,475.408142,475.404388,474.910309,474.910309,0
2022-09-28,478.096436,478.096436,474.904388,475.404388,475.404388,0
2022-09-29,468.334961,474.248871,468.334961,474.904388,474.904388,0
2022-09-30,468.813629,473.316315,468.813629,474.248871,474.248871,0
2022-10-03,471.133728,472.438599,471.133728,473.316315,473.316315,0
2022-10-04,470.291931,470.291931,469.439362,472.438599,472.438599,0
2022-10-05,465.092743,466.634094,465.092743,469.439362,469.439362,0
2022-10-06,466.987000,468.589264,466.987000,468.430115,468.430115,0
2022-10-07,472.531952,472.531952,468.309753,468.589264,468.589264,0
2022-10-10,471.462402,471.462402,471.282379,471.273621,471.273621,0
2022-10-11,470.062927,473.990387,470.062927,471.282379,471.282379,0
2022-10-12,474.752319,475.645416,474.752319,473.990387,473.990387,0
2022-10-13,475.660095,475.660095,475.281952,475.645416,475.645416,0
2022-10-14,473.043884,473.090118,473.043884,475.281952,475.281952,0
2022-10-17,472.444427,472.444427,470.250885,473.090118,473.090118,0
2022-10-18,465.808960,468.090942,465.808960,470.250885,470.250885,0
2022-10-19,466.370209,467.087311,466.370209,468.090942,468.090942,0
2022-10-20,467.792908,467.792908,466.287659,467.087311,467.087311,0
2022-10-21,468.413696,470.061066,468.413696,466.287659,466.287659,0
2022-10-24,465.649200,470.277985,465.649200,464.900726,464.900726,0
2022-10-25,466.824677,470.283295,466.824677,467.914825,467.914825,0
2022-10-26,466.009552,466.009552,465.289978,470.283295,470.283295,0
2022-10-27,463.002380,463.002380,461.182800,465.289978,465.289978,0
2022-10-28,464.312775,465.450104,464.312775,461.182800,461.182800,0
2022-10-31,465.101563,465.101563,464.496460,465.450104,465.450104,0
2022-11-01,466.228699,466.228699,459.444366,464.496460,464.496460,0
2022-11-02,461.690948,461.690948,457.904572,459.444366,459.444366,0
2022-11-03,461.178589,462.747070,461.178589,457.904572,457.904572,0
2022-11-04,462.401093,462.401093,462.121979,462.747070,462.747070,0
2022-11-07,455.786316,461.169281,455.786316,456.616272,456.616272,0
2022-11-08,459.624237,462.079254,459.624237,461.169281,461.169281,0
2022-11-09,459.090515,463.596313,459.090515,462.079254,462.079254,0
2022-11-10,465.062439,465.062439,463.946289,463.596313,463.596313,0
2022-11-11,453.892822,457.310242,453.892822,463.946289,463.946289,0
2022-11-14,455.881927,458.568237,455.881927,453.825012,453.825012,0
2022-11-15,456.834930,457.046753,456.834930,458.568237,458.568237,0
2022-11-16,459.824127,459.824127,457.032867,457.046753,457.046753,0
2022-11-17,458.781189,458.781189,455.247314,457.032867,457.032867,0
2022-11-18,454.364838,458.697205,454.364838,455.247314,455.247314,0
2022-11-21,461.481781,461.481781,460.858673,458.697205,458.697205,0
2022-11-22,459.452881,460.952454,459.452881,460.858673,460.858673,0
2022-11-23,458.938324,462.033478,458.938324,460.952454,460.952454,0
2022-11-24,457.394501,462.408905,457.394501,462.033478,462.033478,0
2022-11-25,462.044647,462.389526,462.044647,462.408905,462.408905,0
2022-11-28,464.451721,467.379578,464.451721,462.389526,462.389526,0
2022-11-29,467.989990,469.000000,465.414032,467.379578,467.379578,0
2022-11-30,466.554230,466.554230,466.035828,465.414032,465.414032,0
2022-12-01,463.152740,464.710114,463.152740,466.035828,466.035828,0
2022-12-02,461.631378,467.622620,461.631378,464.710114,464.710114,0
2022-12-05,465.943451,467.411407,465.943451,467.311981,467.311981,0
2022-12-06,469.946289,469.946289,468.050293,467.411407,467.411407,0
2022-12-07,470.034912,470.395355,470.034912,468.050293,468.050293,0
2022-12-08,469.931763,469.931763,468.552551,470.395355,470.395355,0
2022-12-09,465.472168,467.443512,465.472168,468.552551,468.552551,0
2022-12-12,469.386780,469.386780,466.764404,467.842407,467.842407,0
2022-12-13,467.855316,468.137177,466.524963,466.764404,466.764404,0
2022-12-14,462.254517,467.060516,462.254517,466.524963,466.524963,0
2022-12-15,466.331238,466.331238,464.257141,467.060516,467.060516,0
2022-12-16,463.223267,464.205414,463.223267,464.257141,464.257141,0
2022-12-19,465.255707,465.255707,464.738464,465.606873,465.606873,0
2022-12-20,464.775726,467.390594,464.775726,464.738464,464.738464,0
2022-12-21,468.068268,468.068268,466.228638,467.390594,467.390594,0
2022-12-22,465.272491,465.272491,461.307373,466.228638,466.228638,0
2022-12-23,462.001343,462.001343,458.883270,461.307373,461.307373,0
2022-12-26,458.684509,458.684509,458.684509,458.883270,458.883270,0
2022-12-27,457.278564,457.919220,457.278564,458.684509,458.684509,0
2022-12-28,458.293579,460.762054,458.293579,457.919220,457.919220,0
2022-12-29,461.286591,461.286591,458.717163,460.762054,460.762054,0
