Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,35.967999,36.230000,35.875000,35.967999,35.967999,0
2022-07-07,36.154999,36.330002,36.005001,36.154999,36.154999,0
2022-07-08,36.070999,36.115002,35.803001,36.070999,36.070999,0
2022-07-11,35.860001,36.279999,35.814999,35.860001,35.860001,0
2022-07-12,36.231998,36.360001,36.134998,36.231998,36.231998,0
2022-07-13,36.195999,36.373001,36.091000,36.195999,36.195999,0
2022-07-14,36.231998,36.669998,36.141998,36.231998,36.231998,0
2022-07-15,36.529999,36.730000,36.505001,36.529999,36.529999,0
2022-07-18,36.560001,36.651001,36.505001,36.560001,36.560001,0
2022-07-19,36.689999,36.730000,36.514999,36.689999,36.689999,0
2022-07-20,36.573002,36.694000,36.546001,36.573002,36.573002,0
2022-07-21,36.665001,36.950001,36.665001,36.665001,36.665001,0
2022-07-22,36.751999,36.896999,36.544998,36.751999,36.751999,0
2022-07-25,36.639000,36.766998,36.584999,36.639000,36.639000,0
2022-07-26,36.655998,36.727001,36.612000,36.655998,36.655998,0
2022-07-27,36.698002,36.880001,36.674999,36.698002,36.698002,0
2022-07-28,36.637001,36.758999,36.435001,36.637001,36.637001,0
2022-07-29,36.384998,36.480000,36.099998,36.384998,36.384998,0
2022-08-01,36.292999,36.349998,35.939999,36.292999,36.292999,0
2022-08-02,36.103001,36.160000,35.994999,36.103001,36.103001,0
2022-08-03,36.202999,36.360001,36.139999,36.202999,36.202999,0
2022-08-04,36.240002,36.259998,35.848000,36.240002,36.240002,0
2022-08-05,35.820000,35.849998,35.514999,35.820000,35.820000,0
2022-08-08,35.750000,35.840000,35.520000,35.750000,35.750000,0
2022-08-09,35.529999,35.549999,35.334000,35.529999,35.529999,0
2022-08-10,35.330002,35.610001,35.215000,35.330002,35.330002,0
2022-08-11,35.320000,35.389999,35.025002,35.320000,35.320000,0
2022-08-12,35.200001,35.391998,35.160000,35.200001,35.200001,0
2022-08-15,35.299999,35.529999,35.240002,35.299999,35.299999,0
2022-08-16,35.539001,35.580002,35.330002,35.539001,35.539001,0
2022-08-17,35.373001,35.500000,35.320000,35.373001,35.373001,0
2022-08-18,35.480000,35.720001,35.403999,35.480000,35.480000,0
2022-08-19,35.630001,35.799999,35.619999,35.630001,35.630001,0
