Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,1.358810,1.358890,1.353300,1.358810,1.358810,0
2022-12-20,1.356290,1.357750,1.349150,1.356290,1.356290,0
2022-12-21,1.351080,1.353480,1.349700,1.351080,1.351080,0
2022-12-22,1.350700,1.353450,1.346500,1.350700,1.350700,0
2022-12-23,1.351400,1.353810,1.347300,1.351400,1.351400,0
2022-12-26,1.349100,1.355200,1.341710,1.351700,1.351700,0
2022-12-27,1.346800,1.347440,1.343500,1.346800,1.346800,0
2022-12-28,1.347600,1.350260,1.345480,1.347600,1.347600,0
2022-12-29,1.349240,1.349930,1.344300,1.349240,1.349240,0
2022-12-30,1.343520,1.345180,1.338100,1.343520,1.343520,0
2023-01-02,1.337320,1.342680,1.337700,1.337320,1.337320,0
2023-01-03,1.341200,1.346990,1.336000,1.341200,1.341200,0
2023-01-04,1.345340,1.345320,1.337500,1.345340,1.345340,0
2023-01-05,1.341440,1.346160,1.338100,1.341440,1.341440,0
2023-01-06,1.345520,1.348730,1.337100,1.345520,1.345520,0
2023-01-09,1.333790,1.335860,1.327300,1.333790,1.333790,0
2023-01-10,1.330400,1.333020,1.328940,1.330400,1.330400,0
2023-01-11,1.331650,1.332890,1.328600,1.331650,1.331650,0
2023-01-12,1.330130,1.331410,1.322190,1.330130,1.330130,0
2023-01-13,1.322470,1.324450,1.319340,1.322470,1.322470,0
2023-01-16,1.319900,1.322150,1.315400,1.319900,1.319900,0
2023-01-17,1.319990,1.324400,1.318900,1.319990,1.319990,0
2023-01-18,1.319900,1.325140,1.313050,1.319900,1.319900,0
2023-01-19,1.320120,1.325520,1.319400,1.320120,1.320120,0
2023-01-20,1.321100,1.323430,1.318900,1.321100,1.321100,0
2023-01-23,1.318660,1.321200,1.315000,1.318660,1.318660,0
2023-01-24,1.318300,1.323220,1.316900,1.318300,1.318300,0
2023-01-25,1.319770,1.320900,1.313010,1.319770,1.319770,0
2023-01-26,1.311780,1.313980,1.310100,1.311780,1.311780,0
2023-01-27,1.311100,1.315620,1.310100,1.311100,1.311100,0
2023-01-30,1.312080,1.314080,1.310600,1.312080,1.312080,0
2023-01-31,1.314200,1.317790,1.312900,1.314200,1.314200,0
2023-02-01,1.313900,1.314960,1.311200,1.313900,1.313900,0
2023-02-02,1.305170,1.311110,1.303310,1.305170,1.305170,0
2023-02-03,1.310530,1.321470,1.309600,1.310530,1.310530,0
2023-02-06,1.324800,1.328850,1.322300,1.324800,1.324800,0
2023-02-07,1.327200,1.328610,1.325000,1.327200,1.327200,0
2023-02-08,1.323200,1.326900,1.322300,1.323200,1.323200,0
2023-02-09,1.325860,1.327720,1.319700,1.325860,1.325860,0
2023-02-10,1.325370,1.330400,1.324050,1.325370,1.325370,0
2023-02-13,1.329610,1.333000,1.328900,1.329610,1.329610,0
2023-02-14,1.328040,1.331380,1.323350,1.328040,1.328040,0
2023-02-15,1.328460,1.337700,1.327700,1.328460,1.328460,0
2023-02-16,1.335470,1.338830,1.332900,1.335470,1.335470,0
2023-02-17,1.337010,1.340480,1.336500,1.337010,1.337010,0
2023-02-20,1.337030,1.337580,1.334300,1.337030,1.337030,0
2023-02-21,1.335940,1.339830,1.335000,1.335940,1.335940,0
2023-02-22,1.340230,1.340430,1.337600,1.340230,1.340230,0
2023-02-23,1.340200,1.343930,1.337600,1.340200,1.340200,0
2023-02-24,1.342830,1.349800,1.341200,1.342830,1.342830,0
2023-02-27,1.349590,1.351640,1.346100,1.349590,1.349590,0
2023-02-28,1.346500,1.350270,1.345300,1.346500,1.346500,0
2023-03-01,1.348330,1.349850,1.338790,1.348330,1.348330,0
2023-03-02,1.341920,1.350320,1.340800,1.341920,1.341920,0
2023-03-03,1.347330,1.348420,1.345160,1.347330,1.347330,0
2023-03-06,1.345170,1.346620,1.343300,1.345170,1.345170,0
2023-03-07,1.345140,1.352740,1.343370,1.345140,1.345140,0
2023-03-08,1.354460,1.356460,1.350690,1.354460,1.354460,0
2023-03-09,1.353200,1.355110,1.349900,1.353200,1.353200,0
2023-03-10,1.353220,1.357440,1.347010,1.353220,1.353220,0
2023-03-13,1.347380,1.350210,1.342620,1.347380,1.347380,0
2023-03-14,1.346800,1.348760,1.343270,1.346800,1.346800,0
2023-03-15,1.345080,1.352570,1.340800,1.345080,1.345080,0
2023-03-16,1.351010,1.351600,1.345500,1.351010,1.351010,0
2023-03-17,1.345970,1.347180,1.340950,1.345970,1.345970,0
2023-03-20,1.340420,1.343600,1.337400,1.340420,1.340420,0
2023-03-21,1.337200,1.339860,1.334200,1.337200,1.337200,0
2023-03-22,1.336780,1.337860,1.332600,1.336780,1.336780,0
2023-03-23,1.329610,1.329720,1.323600,1.329610,1.329610,0
2023-03-24,1.327500,1.334520,1.326800,1.327500,1.327500,0
2023-03-27,1.331630,1.334820,1.331300,1.331630,1.331630,0
2023-03-28,1.330630,1.330740,1.326700,1.330630,1.330630,0
2023-03-29,1.327400,1.330760,1.326800,1.327400,1.327400,0
2023-03-30,1.329230,1.331240,1.327000,1.329230,1.329230,0
2023-03-31,1.327930,1.330360,1.325460,1.327930,1.327930,0
2023-04-03,1.333910,1.334680,1.327130,1.333910,1.333910,0
2023-04-04,1.326100,1.328240,1.325280,1.326100,1.326100,0
2023-04-05,1.325070,1.328170,1.323600,1.325070,1.325070,0
2023-04-06,1.328200,1.331260,1.327500,1.328200,1.328200,0
2023-04-07,1.330440,1.332570,1.329000,1.330440,1.330440,0
2023-04-10,1.330590,1.334050,1.328100,1.330590,1.330590,0
2023-04-11,1.332100,1.332990,1.330100,1.332100,1.332100,0
2023-04-12,1.332350,1.333530,1.326500,1.332350,1.332350,0
2023-04-13,1.327380,1.328170,1.320900,1.327380,1.327380,0
2023-04-14,1.321100,1.331580,1.323100,1.321100,1.321100,0
2023-04-17,1.331740,1.335740,1.329400,1.331740,1.331740,0
2023-04-18,1.333970,1.334610,1.331000,1.333970,1.333970,0
2023-04-19,1.332120,1.337710,1.331400,1.332120,1.332120,0
2023-04-20,1.334810,1.335370,1.330100,1.334810,1.334810,0
2023-04-21,1.331700,1.336290,1.331900,1.331700,1.331700,0
2023-04-24,1.333640,1.336390,1.333300,1.333640,1.333640,0
2023-04-25,1.332300,1.339020,1.331500,1.332300,1.332300,0
2023-04-26,1.337830,1.338210,1.332780,1.337830,1.337830,0
2023-04-27,1.334450,1.337710,1.333500,1.334450,1.334450,0
2023-04-28,1.334950,1.337740,1.332900,1.334950,1.334950,0
2023-05-04,1.329430,1.330500,1.326610,1.327160,1.327160,0
